date,id1,id2,object,value,event,devices
2022-01-12 08:15:00,1523,2,вареные колбасы,5.4,Температура в пределах допустимого,sensor_2
2022-01-12 09:15:02,1524,7,сырое мясо,6.4,Температура вышла за пределы допустимого,sensor_7
2022-01-12 10:10:02,1525,7,сырое мясо,3.8,Температура в пределах допустимого,sensor_7
2022-01-12 10:25:01,1526,5,молочная продукция,8.1,Температура вышла за пределы допустимого,sensor_5
2022-01-12 10:45:01,1527,1,полукопченые колбасы,6.4,Температура вышла за пределы допустимого,sensor_1
2022-01-12 10:45:01,1528,5,молочная продукция,5.9,Температура в пределах допустимого,sensor_5
2022-01-12 11:25:01,1529,1,полукопченые колбасы,5.9,Температура в пределах допустимого,sensor_1
2022-01-12 11:45:01,1530,2,вареные колбасы,8.4,Температура вышла за пределы допустимого,sensor_2
2022-01-12 12:05:02,1531,7,сырое мясо,6,Температура вышла за пределы допустимого,sensor_7
2022-01-12 12:15:00,1532,2,вареные колбасы,5.7,Температура в пределах допустимого,sensor_2
2022-01-12 13:10:01,1533,5,молочная продукция,8.5,Температура вышла за пределы допустимого,sensor_5
2022-01-12 13:20:01,1534,7,сырое мясо,4,Температура в пределах допустимого,sensor_7
2022-01-12 13:40:00,1535,1,полукопченые колбасы,6.2,Температура вышла за пределы допустимого,sensor_1
2022-01-12 13:50:01,1536,5,молочная продукция,6,Температура в пределах допустимого,sensor_5
2022-01-12 14:30:01,1537,1,полукопченые колбасы,5.8,Температура в пределах допустимого,sensor_1
2022-01-12 15:15:01,1538,7,сырое мясо,5.9,Температура вышла за пределы допустимого,sensor_7
2022-01-12 15:30:01,1539,4,горка возле первой кассы,4.1,Температура вышла за пределы допустимого,sensor_4
2022-01-12 15:35:01,1540,4,горка возле первой кассы,4,Температура в пределах допустимого,sensor_4
2022-01-12 16:00:01,1541,2,вареные колбасы,8.3,Температура вышла за пределы допустимого,sensor_2
2022-01-12 16:10:01,1542,7,сырое мясо,4,Температура в пределах допустимого,sensor_7
2022-01-12 16:15:01,1543,2,вареные колбасы,5.9,Температура в пределах допустимого,sensor_2
2022-01-12 16:20:00,1544,1,полукопченые колбасы,6.3,Температура вышла за пределы допустимого,sensor_1
2022-01-12 16:20:01,1545,5,молочная продукция,8.6,Температура вышла за пределы допустимого,sensor_5
2022-01-12 16:25:01,1546,1,полукопченые колбасы,5.9,Температура в пределах допустимого,sensor_1
2022-01-12 16:45:01,1547,5,молочная продукция,6,Температура в пределах допустимого,sensor_5
2022-01-12 16:55:01,1548,1,полукопченые колбасы,6.5,Температура вышла за пределы допустимого,sensor_1
2022-01-12 17:20:02,1549,7,сырое мясо,4.4,Температура вышла за пределы допустимого,sensor_7
2022-01-12 17:25:01,1550,7,сырое мясо,3.8,Температура в пределах допустимого,sensor_7
2022-01-12 17:30:01,1551,1,полукопченые колбасы,5.9,Температура в пределах допустимого,sensor_1
2022-01-12 18:35:01,1552,7,сырое мясо,5.7,Температура вышла за пределы допустимого,sensor_7
2022-01-12 18:40:01,1553,1,полукопченые колбасы,6.2,Температура вышла за пределы допустимого,sensor_1
2022-01-12 18:45:00,1554,1,полукопченые колбасы,5.9,Температура в пределах допустимого,sensor_1
2022-01-12 19:05:01,1555,7,сырое мясо,3.7,Температура в пределах допустимого,sensor_7
2022-01-12 19:25:01,1556,5,молочная продукция,8.5,Температура вышла за пределы допустимого,sensor_5
2022-01-12 19:45:01,1557,5,молочная продукция,5.8,Температура в пределах допустимого,sensor_5
2022-01-12 19:50:01,1558,2,вареные колбасы,8.3,Температура вышла за пределы допустимого,sensor_2
2022-01-12 19:55:00,1559,1,полукопченые колбасы,6.3,Температура вышла за пределы допустимого,sensor_1
2022-01-12 20:10:01,1560,7,сырое мясо,4.6,Температура вышла за пределы допустимого,sensor_7
2022-01-12 20:20:01,1561,2,вареные колбасы,5,Температура в пределах допустимого,sensor_2
2022-01-12 20:20:01,1562,7,сырое мясо,3.6,Температура в пределах допустимого,sensor_7
2022-01-12 20:35:00,1563,1,полукопченые колбасы,5.9,Температура в пределах допустимого,sensor_1
2022-01-12 21:10:02,1564,7,сырое мясо,5.8,Температура вышла за пределы допустимого,sensor_7
2022-01-12 21:50:00,1565,1,полукопченые колбасы,6.5,Температура вышла за пределы допустимого,sensor_1
2022-01-12 22:10:01,1566,7,сырое мясо,3.5,Температура в пределах допустимого,sensor_7
2022-01-12 22:25:01,1567,5,молочная продукция,8.3,Температура вышла за пределы допустимого,sensor_5
2022-01-12 22:45:01,1568,5,молочная продукция,5.9,Температура в пределах допустимого,sensor_5
2022-01-12 23:10:01,1569,7,сырое мясо,4.2,Температура вышла за пределы допустимого,sensor_7
2022-01-12 23:15:02,1570,7,сырое мясо,3.6,Температура в пределах допустимого,sensor_7
2022-01-12 23:45:01,1571,2,вареные колбасы,8,Температура вышла за пределы допустимого,sensor_2
2022-01-13 00:20:01,1572,2,вареные колбасы,5.6,Температура в пределах допустимого,sensor_2
2022-01-13 00:20:01,1573,7,сырое мясо,5.9,Температура вышла за пределы допустимого,sensor_7
2022-01-13 01:05:01,1574,7,сырое мясо,3.6,Температура в пределах допустимого,sensor_7
2022-01-13 01:15:01,1575,5,молочная продукция,8,Температура вышла за пределы допустимого,sensor_5
2022-01-13 01:50:01,1576,5,молочная продукция,6,Температура в пределах допустимого,sensor_5
2022-01-13 03:05:32,1577,7,сырое мясо,5.5,Температура вышла за пределы допустимого,sensor_7
2022-01-13 03:55:01,1578,2,вареные колбасы,8.4,Температура вышла за пределы допустимого,sensor_2
